word,attr,score
prehensile,a,0.17045454545454547
grasping,a,0.0
grabby,a,0.0
covetous,a,0.08333333333333333
avaricious,a,0.0
possessive,a,0.1363636363636364
plundering,a,0.0
predatory,a,0.06818181818181819
predacious,a,0.0
predaceous,a,0.0
sordid,a,-1.035824175824176
unacquisitive,a,-0.5
acropetal,a,0.0
basipetal,a,0.0
active,a,0.0018156547637743514
astir,a,0.0
about,a,0.0
gymnastic,a,0.25
athletic,a,0.30000000000000004
acrobatic,a,0.375
spry,a,0.0
quick,a,0.0
nimble,a,0.125
agile,a,0.125
hot,a,0.05126006027588165
overactive,a,0.25
hyperactive,a,0.25
on_the_go,a,0.125
sporty,a,0.45000000000000007
inactive,a,-0.3906984996660156
deskbound,a,0.125
desk-bound,a,0.125
dormant,a,-0.04571428571428571
abeyant,a,-0.125
underactive,a,-0.625
hypoactive,a,-0.625
torpid,a,0.08333333333333333
soggy,a,-0.12272727272727275
sluggish,a,-0.08181818181818183
inert,a,-0.1875
sedentary,a,0.125
activated,a,-0.12329670329670335
off,a,-0.16550171426193097
retired,a,-0.625
brisk,a,0.3068181818181818
bustling,a,0.5
busy,a,0.07801027570632017
going,a,-0.5
open,a,-0.02172018547097103
springy,a,-0.16666666666666666
dark,a,-0.015524309668784311
dead,a,-0.012156396288674242
slow,a,-0.09095490047871
dull,a,-0.015226866549539045
idle,a,-0.16801191808860516
strikebound,a,0.0
progressive,a,0.033448694162979874
dead-end,a,0.0
flat,a,-0.00011670511827489651
indolent,a,0.0
latent,a,-0.5
quiescent,a,-0.5796992481203009
activistic,a,0.0
activist,a,0.0
hands-on,a,0.0
proactive,a,0.0
passive,a,0.11931818181818182
hands-off,a,-0.625
unresisting,a,-0.75
supine,a,-0.5
resistless,a,-0.9166666666666666
eruptive,a,-0.45000000000000007
extinct,a,-0.30000000000000004
live,a,0.0766739136067931
alive,a,0.0694637596922297
dynamic,a,0.05113636363636364
stative,a,0.0
counteractive,a,-0.5
surface-active,a,0.0
quiet,a,-0.7397901927328941
existent,a,-0.10227272727272728
actual,a,0.028789730378395037
effective,a,0.13930173438041127
potential,a,-0.25
possible,a,0.16666666666666666
acute,a,-0.009055570280060076
subacute,a,0.0
